city,state,zip,county,population
St. Charles,MO,63303,Saint Charles,67569
Eau Claire,WI,54702,Eau Claire,67545
North Richland Hills,TX,76180,Tarrant,67317
Bismarck,ND,58505,Burleigh,67034
Yorba Linda,CA,92886,Orange,67032
Kenner,LA,70062,Jefferson Parish,66975
Walnut Creek,CA,94596,Contra Costa,66900
Frederick,MD,21705,Frederick,66893
Oshkosh,WI,54904,Winnebago,66778
Pittsburg,CA,94565,Contra Costa,66695
Palo Alto,CA,94301,Santa Clara,66642
Bossier City,LA,71111,Bossier,66333
Portland,ME,04104,Cumberland,66318
St. Cloud,MN,56302,Stearns,66297
Davis,CA,95618,Yolo,66205
South San Francisco,CA,94080,San Mateo,66174
Camarillo,CA,93011,Ventura,66086
