old_path,new_path
/resources/charlotte-north-carolina-sales-tax,/sales-tax-calculator/charlotte-north-carolina
/resources/chatom-alabama-sales-tax,/sales-tax-calculator/chatom-alabama
/resources/chatsworth-georgia-sales-tax,/sales-tax-calculator/chatsworth-georgia
/resources/chattahoochee-florida-sales-tax,/sales-tax-calculator/chattahoochee-florida
/resources/cherry-valley-village-illinois-sales-tax,/sales-tax-calculator/cherry-valley-illinois
/resources/chesaning-village-michigan-sales-tax,/sales-tax-calculator/chesaning-michigan
/resources/chester-pennsylvania-sales-tax,/sales-tax-calculator/chester-pennsylvania
/resources/chesterhill-village-ohio-sales-tax,/sales-tax-calculator/chesterhill-ohio
/resources/chetopa-kansas-sales-tax,/sales-tax-calculator/chetopa-kansas
/resources/chickamauga-georgia-sales-tax,/sales-tax-calculator/chickamauga-georgia
/resources/chino-valley-arizona-sales-tax,/sales-tax-calculator/chino-valley-arizona
/resources/cicero-illinois-sales-tax,/sales-tax-calculator/cicero-illinois
/resources/clark-fork-idaho-sales-tax,/sales-tax-calculator/clark-fork-idaho
/resources/clarkston-georgia-sales-tax,/sales-tax-calculator/clarkston-georgia
/resources/clayton-california-sales-tax,/sales-tax-calculator/clayton-california
/resources/clearmont-missouri-sales-tax,/sales-tax-calculator/clearmont-missouri
/resources/clements-minnesota-sales-tax,/sales-tax-calculator/clements-minnesota
/resources/cleveland-ohio-sales-tax,/sales-tax-calculator/cleveland-ohio
/resources/cleveland-texas-sales-tax,/sales-tax-calculator/cleveland-texas
/resources/clinton-illinois-sales-tax,/sales-tax-calculator/clinton-illinois
/resources/clinton-wisconsin-sales-tax,/sales-tax-calculator/clinton-wisconsin
/resources/cloverdale-indiana-sales-tax,/sales-tax-calculator/cloverdale-indiana
/resources/clyde-village-new-york-sales-tax,/sales-tax-calculator/clyde-new-york
/resources/coats-north-carolina-sales-tax,/sales-tax-calculator/coats-north-carolina
/resources/cold-spring-village-new-york-sales-tax,/sales-tax-calculator/cold-spring-new-york
/resources/colfax-washington-sales-tax,/sales-tax-calculator/colfax-washington
/resources/collegedale-tennessee-sales-tax,/sales-tax-calculator/collegedale-tennessee
/resources/collierville-tennessee-sales-tax,/sales-tax-calculator/collierville-tennessee
/resources/columbus-ohio-sales-tax,/sales-tax-calculator/columbus-ohio
/resources/commerce-city-colorado-sales-tax,/sales-tax-calculator/commerce-city-colorado
/resources/copemish-village-michigan-sales-tax,/sales-tax-calculator/copemish-michigan
/resources/corning-california-sales-tax,/sales-tax-calculator/corning-california
/resources/cornwall-borough-pennsylvania-sales-tax,/sales-tax-calculator/cornwall-pennsylvania
/resources/craig-missouri-sales-tax,/sales-tax-calculator/craig-missouri
/resources/cresson-texas-sales-tax,/sales-tax-calculator/cresson-texas
/resources/crosby-minnesota-sales-tax,/sales-tax-calculator/crosby-minnesota
/resources/crystal-river-florida-sales-tax,/sales-tax-calculator/crystal-river-florida
/resources/cuba-kansas-sales-tax,/sales-tax-calculator/cuba-kansas
/resources/cudahy-wisconsin-sales-tax,/sales-tax-calculator/cudahy-wisconsin
/resources/culloden-georgia-sales-tax,/sales-tax-calculator/culloden-georgia
/resources/cullom-village-illinois-sales-tax,/sales-tax-calculator/cullom-illinois
/resources/culpeper-virginia-sales-tax,/sales-tax-calculator/culpeper-virginia
/resources/culver-city-california-sales-tax,/sales-tax-calculator/culver-city-california
/resources/cushing-texas-sales-tax,/sales-tax-calculator/cushing-texas
/resources/danbury-north-carolina-sales-tax,/sales-tax-calculator/danbury-north-carolina
/resources/danville-georgia-sales-tax,/sales-tax-calculator/danville-georgia
